,Name,Market Cap (GBP$ Billion)
0,JPMorgan Chase,82.384
1,Industrial and Commercial Bank of China,72.748
2,Bank of America,68.559
3,Wells Fargo,64.909
4,China Construction Bank,54.243
5,HSBC Holdings PLC,46.208
6,Agricultural Bank of China,42.831
7,Citigroup Inc.,42.814
8,Bank of China,38.242
9,China Merchants Bank,25.839
10,Royal Bank of Canada,25.829
11,Banco Santander,24.382
12,Commonwealth Bank,23.65
13,Mitsubishi UFJ Financial Group,23.531
14,Toronto-Dominion Bank,22.854
15,BNP Paribas,21.76
16,Goldman Sachs,21.222
17,Sberbank of Russia,21.04
18,Morgan Stanley,21.0
19,U.S. Bancorp,19.927
20,HDFC Bank,18.637
21,Itaú Unibanco,18.166
22,Westpac,17.82
23,Scotiabank,16.637
24,ING Group,16.631
25,UBS,15.907
26,Charles Schwab,15.648
27,PNC Financial Services,15.225
28,Lloyds Banking Group,15.016
29,Sumitomo Mitsui Financial Group,14.189
30,Bank of Communications,14.135
31,Australia and New Zealand Banking Group,14.003
32,Banco Bradesco,13.659
33,National Australia Bank,13.444
34,Intesa Sanpaolo,13.073
35,Banco Bilbao Vizcaya Argentaria,12.787
36,Japan Post Bank,12.755
37,The Bank of New York Mellon,12.607
38,Shanghai Pudong Development Bank,12.391
39,Industrial Bank (China),12.093
40,Bank of China (Hong Kong),11.685
41,Bank of Montreal,11.207
42,Crédit Agricole,10.987
43,DBS Bank,10.848
44,Nordea,10.787
45,Capital One,10.77
46,NatWest Group,10.64
47,Mizuho Financial Group,10.541
48,Credit Suisse,10.213
49,Postal Savings Bank of China,10.104
50,China Minsheng Bank,10.098
51,UniCredit,10.068
52,China CITIC Bank,9.999
53,Hang Seng Bank,9.73
54,Société Générale,9.705
55,Barclays,9.663
56,Canadian Imperial Bank of Commerce,9.176
57,Bank Central Asia,9.134
58,Truist Financial,8.835
59,Oversea-Chinese Banking Corp,8.716
60,State Bank of India,8.549
61,State Street,8.381
62,Deutsche Bank,8.144
63,KBC Bank,8.091
64,Danske Bank,8.055
65,Ping An Bank,8.007
66,Standard Chartered,7.864
67,United Overseas Bank,7.403
68,QNB Group,7.073
69,Bank Rakyat,6.971
